name,link_id,from_node_id,to_node_id,facility_type,dir_flag,length,lanes,capacity,free_speed,link_type,cost,VDF_fftt1,VDF_cap1,VDF_alpha1,VDF_beta1,VDF_theta1,VDF_gamma1,VDF_mu1,RUC_rho1,RUC_resource1,RUC_type,is_connector
,6825,2277,1940,Highway,1,0.0559868383292863,2.0,13000.0,0.0033592102997571,1,0,1000.0,13000.0,0.15,4,1.0,1,100,10,0,1,1
,6828,2278,1947,Highway,1,0.025054612549701,2.0,13000.0,0.001503276752982,1,0,1000.0,13000.0,0.15,4,1.0,1,100,10,0,1,1
,6829,2278,1948,Highway,1,0.1279495965092646,2.0,13000.0,0.0076769757905558,1,0,1000.0,13000.0,0.15,4,1.0,1,100,10,0,1,1
,6830,2278,1980,Highway,1,0.2601661089873949,2.0,13000.0,0.0156099665392436,1,0,1000.0,13000.0,0.15,4,1.0,1,100,10,0,1,1
,6832,2279,1980,Highway,1,0.0172631277089379,2.0,13000.0,0.0010357876625362,1,0,1000.0,13000.0,0.15,4,1.0,1,100,10,0,1,1
,6833,2279,1948,Highway,1,0.1282411959437122,2.0,13000.0,0.0076944717566227,1,0,1000.0,13000.0,0.15,4,1.0,1,100,10,0,1,1
,6834,2279,1947,Highway,1,0.2353710871119163,2.0,13000.0,0.0141222652267149,1,0,1000.0,13000.0,0.15,4,1.0,1,100,10,0,1,1
,6836,2280,1969,Highway,1,0.004499757548773,2.0,13000.0,0.0002699854529263,1,0,1000.0,13000.0,0.15,4,1.0,1,100,10,0,1,1
,6840,2281,1925,Highway,1,0.0029996781917324,2.0,13000.0,0.0001799806915039,1,0,1000.0,13000.0,0.15,4,1.0,1,100,10,0,1,1
,6842,2281,1964,Highway,1,0.4931798061996778,2.0,13000.0,0.0295907883719806,1,0,1000.0,13000.0,0.15,4,1.0,1,100,10,0,1,1
,6844,2282,1964,Highway,1,0.0059999895343399,2.0,13000.0,0.0003599993720603,1,0,1000.0,13000.0,0.15,4,1.0,1,100,10,0,1,1
,6846,2282,1925,Highway,1,0.5021779973154883,2.0,13000.0,0.0301306798389292,1,0,1000.0,13000.0,0.15,4,1.0,1,100,10,0,1,1
,6848,2283,1924,Highway,1,0.0029999599064292,2.0,13000.0,0.0001799975943857,1,0,1000.0,13000.0,0.15,4,1.0,1,100,10,0,1,1
,6850,2283,1974,Highway,1,0.4330019156248124,2.0,13000.0,0.0259801149374887,1,0,1000.0,13000.0,0.15,4,1.0,1,100,10,0,1,1
,6852,2284,1974,Highway,1,0.0060000142408144,2.0,13000.0,0.0003600008544488,1,0,1000.0,13000.0,0.15,4,1.0,1,100,10,0,1,1
,6854,2284,1924,Highway,1,0.4240089157029344,2.0,13000.0,0.025440534942176,1,0,1000.0,13000.0,0.15,4,1.0,1,100,10,0,1,1
,6855,2284,1923,Highway,1,0.4795050773740791,2.0,13000.0,0.0287703046424447,1,0,1000.0,13000.0,0.15,4,1.0,1,100,10,0,1,1
,6856,2285,1923,Highway,1,0.0121066583700958,2.0,13000.0,0.0007263995022057,1,0,1000.0,13000.0,0.15,4,1.0,1,100,10,0,1,1
,6858,2285,1972,Highway,1,0.372106307668344,2.0,13000.0,0.0223263784601006,1,0,1000.0,13000.0,0.15,4,1.0,1,100,10,0,1,1
,6860,2286,1972,Highway,1,0.028288981903985,2.0,13000.0,0.0016973389142391,1,0,1000.0,13000.0,0.15,4,1.0,1,100,10,0,1,1
,6862,2286,1923,Highway,1,0.3323369055078239,2.0,13000.0,0.0199402143304694,1,0,1000.0,13000.0,0.15,4,1.0,1,100,10,0,1,1
,6864,2287,1973,Highway,1,0.0245196763064668,2.0,13000.0,0.001471180578388,1,0,1000.0,13000.0,0.15,4,1.0,1,100,10,0,1,1
,6868,2288,1970,Highway,1,0.0183012066773161,2.0,13000.0,0.0010980724006389,1,0,1000.0,13000.0,0.15,4,1.0,1,100,10,0,1,1
,6870,2288,1961,Highway,1,0.2594155400437696,2.0,13000.0,0.0155649324026261,1,0,1000.0,13000.0,0.15,4,1.0,1,100,10,0,1,1
,6872,2289,1931,Highway,1,0.00299996307314,2.0,13000.0,0.0001799977843884,1,0,1000.0,13000.0,0.15,4,1.0,1,100,10,0,1,1
,6876,2290,1943,Highway,1,0.0059999714998539,2.0,13000.0,0.0003599982899912,1,0,1000.0,13000.0,0.15,4,1.0,1,100,10,0,1,1
,6880,2291,1946,Highway,1,0.0044999362673525,2.0,13000.0,0.0002699961760411,1,0,1000.0,13000.0,0.15,4,1.0,1,100,10,0,1,1
,6882,2291,1943,Highway,1,0.6730622304226528,2.0,13000.0,0.0403837338253591,1,0,1000.0,13000.0,0.15,4,1.0,1,100,10,0,1,1
,6884,2292,1945,Highway,1,0.0615256159610424,2.0,13000.0,0.0036915369576625,1,0,1000.0,13000.0,0.15,4,1.0,1,100,10,0,1,1
