centroid_old_id,centroid_new_id,x_coord,y_coord,name
317379,1973,321619.5562,5808290.816,
317381,1974,326627.6358,5808270.919,
317383,1975,315379.3321,5808250.577,
317385,1976,321944.9416,5808087.428,
317387,1977,322204.5558,5808186.413,
317389,1978,315044.2962,5808150.799,
317391,1979,314664.2551,5807906.495,
317395,1980,317390.4092,5818019.029,
317397,1981,321356.0612,5813418.063,
317403,1982,324901.9362,5815851.53,
317405,1983,320077.3112,5812963.463,
317407,1984,323874.0612,5815679.063,
317410,1985,324317.0612,5815831.063,
317412,1986,322745.0612,5815323.063,
317414,1987,321326.0612,5815618.063,
317416,1988,321887.0612,5815013.063,
317419,1989,322466.0612,5814984.063,
317422,1990,322700.0612,5814855.063,
317425,1991,323922.0612,5814186.063,
317428,1992,321798.0612,5814099.063,
317431,1993,321076.0612,5812861.063,
317435,1994,322628.0612,5814154.063,
317438,1995,323644.0612,5812994.063,
317441,1996,324367.0612,5812921.063,
317446,1997,325089.0612,5812919.063,
317451,1998,323584.0612,5811200.063,
317455,1999,324829.0612,5811337.063,
317458,2000,321570.0612,5812817.063,
317461,2001,318042.0612,5815097.063,
317463,2002,317318.0612,5815581.063,
317467,2003,318244.0612,5816014.063,
317469,2004,317736.0612,5816154.063,
317472,2005,317314.0612,5816214.063,
317474,2006,316106.0612,5817159.063,
317476,2007,316730.0612,5816874.063,
317479,2008,316051.1355,5817651.299,
317481,2009,318022.0612,5816866.063,
317483,2010,317819.0612,5817634.063,
317486,2011,314673.0612,5815730.063,
317491,2012,315173.0612,5813268.063,
317500,2013,314312.0612,5813244.063,
317504,2014,314156.0612,5813827.063,
317509,2015,313490.4049,5812503.31,
317515,2016,313831.7799,5812628.368,
317523,2017,314182.0612,5809534.063,
317529,2018,320951.0612,5812534.063,
317544,2019,313750.0612,5814292.063,
317549,2020,313784.0612,5814586.063,
317551,2021,313833.0612,5815105.063,
317554,2022,314379.0612,5814799.063,
317557,2023,314561.2715,5808894.532,
317562,2024,320736.0612,5812461.063,
317568,2025,322510.0612,5808712.063,
317570,2026,322918.0612,5809163.063,
317573,2027,323867.0612,5808954.063,
317577,2028,324689.0612,5808823.063,
317582,2029,324591.0612,5809275.063,
317587,2030,324100.0612,5809365.063,
317591,2031,323083.0612,5810773.063,
317594,2032,324247.8427,5810219.225,
317597,2033,322608.0612,5809861.063,
317600,2034,325558.0612,5810461.063,
317603,2035,325704.0612,5809397.063,
317608,2036,325525.0612,5808708.063,
317613,2037,321160.0612,5812646.063,
317616,2038,326362.0612,5809305.063,
317619,2039,327168.3897,5809904.704,
317631,2040,320633.0612,5808852.063,
317634,2041,320115.3112,5809048.7,
317639,2042,319979.8112,5809574.335,
317642,2043,320459.2487,5810612.313,
317644,2044,318819.0612,5810218.063,
317647,2045,318004.0612,5810142.063,
317652,2046,317359.0612,5810254.063,
317656,2047,318940.0612,5814983.063,
317659,2048,319717.7174,5814154.493,
317661,2049,321717.0612,5816198.063,
317664,2050,320157.0612,5813867.063,
317667,2051,320456.0612,5813821.063,
317670,2052,321460.8424,5815001.89,
317673,2053,322952.0612,5816280.063,
317676,2054,323308.0612,5816102.063,
317679,2055,322201.0612,5815620.063,
317681,2056,322227.0612,5814246.063,
317685,2057,322397.0612,5814258.063,
317688,2058,323178.0612,5815547.063,
317691,2059,323062.0612,5814656.063,
317694,2060,322836.0612,5813816.063,
317698,2061,323730.9362,5813458.46,
317702,2062,323521.0612,5812078.063,
317704,2063,324332.0612,5811979.063,
317709,2064,325046.0612,5811880.063,
317714,2065,323852.2159,5811218.189,
317718,2066,325056.0612,5813537.063,
317720,2067,325914.0612,5812614.063,
317724,2068,325715.0612,5811934.063,
317728,2069,326648.0612,5811758.063,
317732,2070,326744.0612,5812539.063,
317740,2071,326713.0612,5813630.063,
317744,2072,326619.0612,5814036.063,
317747,2073,320428.0612,5812608.063,
317752,2074,318945.0612,5813680.063,
317756,2075,323648.0612,5814727.063,
317758,2076,321100.0612,5817110.063,
317765,2077,314259.0612,5810161.063,
317770,2078,323570.9534,5818139.234,
317777,2079,323457.0612,5817230.063,
317779,2080,324678.0612,5816573.063,
317785,2081,324294.4588,5817381.986,
317788,2082,324534.265,5817623.384,
317794,2083,325720.0612,5816621.063,
317798,2084,326331.4788,5816722.136,
317801,2085,326371.0903,5817347.024,
317803,2086,320181.0612,5812538.063,
317810,2087,314074.2279,5817904.969,
317821,2088,320511.0612,5812391.063,
317823,2089,314563.0612,5816519.063,
317826,2090,313899.0612,5815746.063,
317836,2091,320883.0612,5812357.063,
317843,2092,315864.0612,5814557.063,
317845,2093,314401.0612,5814677.063,
317848,2094,314880.5299,5814886.418,
317851,2095,315309.0612,5814722.063,
317854,2096,314766.0612,5814487.063,
317856,2097,315566.0612,5814506.063,
317858,2098,315285.0612,5814450.063,
317860,2099,315880.0612,5813924.063,
317863,2100,320907.0612,5813294.063,
317865,2101,320257.0612,5812302.063,
317868,2102,314280.0612,5814136.063,
317870,2103,314763.0612,5814167.063,
317873,2104,314823.5612,5813775.52,
317877,2105,314762.0612,5812980.063,
317879,2106,313397.0612,5813357.063,
317881,2107,314212.0612,5812193.063,
317888,2108,319105.0612,5816694.063,
317894,2109,316843.0612,5816120.063,
317898,2110,317388.0612,5816951.063,
317900,2111,319529.0612,5816130.063,
317903,2112,315687.4385,5816601.626,
317905,2113,318272.0612,5816339.063,
317908,2114,317311.0612,5815911.063,
317910,2115,318739.5924,5815183.842,
317912,2116,320720.0612,5815744.063,
317915,2117,316432.0612,5815546.063,
317917,2118,318538.0612,5814604.063,
317919,2119,320533.0612,5815054.063,
317922,2120,319271.0612,5814338.063,
317925,2121,317565.0612,5815324.063,
317928,2122,317990.0612,5815428.063,
317931,2123,318443.0612,5815251.063,
317934,2124,317540.5619,5814731.869,
317936,2125,318016.5562,5814686.122,
317938,2126,318871.0612,5814704.063,
317941,2127,318683.0612,5814192.063,
317945,2128,319226.0612,5813966.063,
317948,2129,319310.0612,5814690.063,
317951,2130,319759.0612,5813921.063,
317954,2131,319926.0612,5814276.063,
317956,2132,320037.0612,5814536.063,
317959,2133,319714.0612,5814488.063,
317962,2134,319597.0612,5814928.063,
317965,2135,319657.0612,5815463.063,
317967,2136,320168.0612,5816023.063,
317969,2137,320590.0612,5814600.063,
317972,2138,320363.0612,5814618.063,
317975,2139,320597.0612,5813820.063,
317978,2140,320610.0612,5814033.063,
317981,2141,320420.0612,5814044.063,
317984,2142,320634.0612,5814264.063,
317986,2143,320388.0612,5814285.063,
317988,2144,320130.0612,5814074.063,
317991,2145,321090.0612,5813991.063,
317994,2146,322219.0612,5813065.063,
317997,2147,319244.77,5813360.296,
318001,2148,319587.0612,5813417.063,
318004,2149,319917.0612,5813248.063,
318007,2150,320890.7487,5814559.29,
318010,2151,320390.0612,5813353.063,
318012,2152,320177.0612,5813273.063,
318015,2153,319970.0612,5813662.063,
318018,2154,321099.0612,5813573.063,
318020,2155,320581.0612,5813627.063,
318022,2156,320152.1237,5812737.075,
318025,2157,320291.2174,5813073.639,
318027,2158,320472.0612,5813126.063,
318030,2159,320645.0612,5812688.063,
318033,2160,320863.0612,5812775.063,
318036,2161,320764.0612,5812988.063,
318039,2162,321242.0612,5812407.063,
318042,2163,321971.0924,5812553.558,
318045,2164,321099.0612,5811951.063,
318047,2165,320330.0612,5811868.063,
318051,2166,320642.0612,5811924.063,
318054,2167,320627.0612,5811623.063,
318056,2168,320407.0612,5811517.063,
318058,2169,320896.0612,5811207.063,
318061,2170,321027.0612,5811115.063,
318065,2171,320977.0612,5810766.063,
318068,2172,321265.0612,5810915.063,
318070,2173,321397.0612,5810713.063,
318073,2174,321615.0612,5810591.063,
318076,2175,321937.0612,5810560.063,
318079,2176,322741.0612,5810931.063,
318083,2177,323291.0612,5811288.063,
318087,2178,323076.0612,5811459.063,
318090,2179,323080.0612,5810398.063,
318093,2180,323867.0612,5810401.063,
318096,2181,323554.0612,5810607.063,
318099,2182,323341.0612,5810612.063,
318102,2183,323781.0612,5809949.063,
318105,2184,323716.0612,5809504.063,
318109,2185,323404.0612,5809767.063,
318113,2186,322986.0612,5809580.063,
318116,2187,323334.0612,5809142.063,
318120,2188,323298.0612,5808893.063,
318123,2189,322501.0612,5809311.063,
318129,2190,322374.1862,5809199.485,
318132,2191,321959.0612,5809726.063,
318136,2192,322083.0612,5809367.063,
318140,2193,322024.0612,5810115.063,
318143,2194,322154.1862,5809657.097,
318145,2195,322287.0612,5808670.063,
318147,2196,323467.0612,5810290.063,
318160,2197,321487.5924,5814500.196,
318167,2198,322188.0612,5809001.063,
318169,2199,319987.0612,5814872.063,
318171,2200,321204.0612,5813369.063,
318175,2201,317759.8865,5814719.365,
318177,2202,318192.0612,5814300.063,
318179,2203,318668.0612,5817722.063,
318181,2204,317042.0612,5813917.063,
318188,2205,320837.0612,5814007.063,
318191,2206,321422.0612,5813996.063,
318195,2207,318782.76,5813188.84,
318198,2208,319517.0612,5813629.063,
318200,2209,324319.0649,5818074.976,
318204,2210,324223.0612,5816893.063,
318206,2211,325780.0612,5817374.063,
318211,2212,326799.0612,5816854.063,
318216,2213,319768.0612,5813652.063,
318218,2214,325330.4688,5816694.277,
318220,2215,324364.0612,5816376.063,
318223,2216,320248.0612,5813568.063,
318227,2217,321438.0612,5813287.063,
318232,2218,320738.0612,5813489.063,
318234,2219,319705.9049,5813135.114,
318237,2220,321835.0612,5813245.063,
318240,2221,322687.0612,5813026.063,
318244,2222,318693.7368,5813055.581,
318249,2223,319766.0612,5812412.063,
318253,2224,318563.0612,5812231.063,
318257,2225,322270.0612,5812010.063,
318259,2226,322618.0612,5812340.063,
318261,2227,320669.0612,5813180.063,
318264,2228,320365.0612,5812089.063,
318267,2229,322050.0612,5811464.063,
318269,2230,316591.0612,5811571.063,
318272,2231,325621.0612,5812731.063,
318275,2232,326179.0612,5811840.063,
318278,2233,317542.0612,5811701.063,
318280,2234,326481.0612,5810954.063,
318283,2235,326236.0612,5815012.063,
318289,2236,320933.0612,5812136.063,
318293,2237,325616.0612,5814026.063,
318297,2238,326234.0612,5813185.063,
318299,2239,319103.0612,5811832.063,
318301,2240,320090.0612,5811564.063,
318303,2241,320952.0612,5811654.063,
318305,2242,321288.0612,5811711.063,
318307,2243,321298.0612,5811423.063,
318309,2244,320551.0612,5812910.063,
318311,2245,320883.0612,5811349.063,
318314,2246,321267.0612,5811122.063,
318316,2247,316342.5244,5810191.854,
318318,2248,322496.0612,5810481.063,
318320,2249,322469.0612,5808990.063,
318324,2250,320992.0612,5813077.063,
318328,2251,318168.0612,5811165.063,
318331,2252,319729.0612,5810980.063,
318334,2253,320347.0299,5810913.954,
318336,2254,316713.4744,5810443.103,
318338,2255,320847.0612,5810357.063,
318340,2256,321294.0612,5813138.063,
318343,2257,318640.0612,5810587.063,
318345,2258,319160.0612,5810056.063,
318348,2259,326541.0612,5810083.063,
318350,2260,321041.9982,5809915.565,
318357,2261,319832.0612,5810230.063,
318360,2262,321831.0612,5810129.063,
318363,2263,319398.0612,5809442.063,
318367,2264,323033.0612,5809971.063,
318372,2265,324611.0612,5810764.063,
318375,2266,324118.0612,5809807.063,
318378,2267,321267.0612,5812973.063,
318381,2268,323370.0612,5809488.063,
318384,2269,324796.0612,5809521.063,
318387,2270,322511.0612,5816888.063,
318395,2271,321065.8828,5816673.84,
318399,2272,326460.8319,5816552.098,
318402,2273,322117.0612,5816290.435,
318404,2274,322740.0612,5815788.063,
318406,2275,314667.7315,5807918.687,
318409,2276,315063.4185,5808152.757,
318411,2277,327714.4509,5815566.123,
318413,2278,317134.6734,5818066.837,
318417,2279,317382.7419,5818003.562,
318421,2280,327749.1534,5808666.437,
318423,2281,327769.9129,5810768.86,
318425,2282,327825.9026,5811264.889,
318427,2283,327057.1334,5808215.942,
318431,2284,326633.6141,5808270.409,
318433,2285,326166.469,5808291.454,
318435,2286,325859.2931,5808137.008,
318437,2287,321639.9016,5808304.501,
318439,2288,320922.8777,5808263.365,
318441,2289,319344.5706,5818024.231,
318443,2290,321424.1388,5818143.966,
318445,2291,322098.8101,5818066.894,
318447,2292,320497.9289,5818141.142,
318449,2293,321975.6093,5808088.384,
318455,2294,322217.545,5808189.382,
318457,2295,327475.2577,5817479.808,
318459,2296,327767.0612,5815631.063,
318461,2297,322832.4667,5818015.915,
318463,2298,323775.0707,5818121.302,
318465,2299,318880.2044,5818285.925,
318467,2300,324883.3638,5818108.86,
318469,2301,318329.3205,5818321.532,
318471,2302,312667.7511,5817614.67,
318473,2303,325606.0791,5818146.39,
318475,2304,326225.084,5818074.432,
318477,2305,315504.6129,5817735.974,
318481,2306,317246.0153,5818025.122,
318483,2307,312441.9649,5816280.712,
318485,2308,312629.8337,5815994.738,
318487,2309,327572.3377,5814827.271,
318489,2310,327711.2603,5814093.55,
318491,2311,327662.4399,5814296.065,
318493,2312,327678.2444,5813662.552,
318495,2313,327691.2719,5813395.548,
318497,2314,312420.9304,5813059.277,
318499,2315,321183.8886,5808260.314,
318501,2316,312683.8903,5814589.573,
318503,2317,312500.2001,5815025.052,
318505,2318,312580.4302,5814172.399,
318507,2319,312462.2143,5816229.108,
318509,2320,327608.2337,5812883.275,
318511,2321,322603.1161,5808313.989,
318513,2322,312429.0171,5812958.098,
318515,2323,312353.2745,5812160.308,
318517,2324,327587.3108,5812000.355,
318519,2325,312612.9007,5811531.814,
318521,2326,312510.9977,5809678.473,
318523,2327,327567.6289,5809612.098,
318525,2328,323420.0373,5808296.824,
318529,2329,324217.5485,5808284.869,
318531,2330,315400.8015,5808252.111,
318533,2331,322498.8642,5808319.208,
318537,2332,327581.9395,5810035.982,
318539,2333,325028.0375,5808162.687,
318541,2334,322364.1852,5808226.116,
318543,2335,312575.4033,5810506.865,
318545,2336,312932.0689,5817629.536000001,
10000307,2342,322625.96169486595,5811897.965339901,AAMI Park
10000308,2343,322089.4628589929,5812240.139649849,Rod Laver Arena
10000309,2344,322028.53204200504,5812261.402295203,Margaret Court Arena
10000310,2345,322417.2649517286,5812111.739862753,John Cain Arena
10000311,2346,319336.3953620228,5812578.019917993,Marvel Stadium
10000312,2347,320140.1976058347,5813743.12293561,Queen Victoria Market
10000313,2348,321785.24825832795,5806940.190962315,St Kilda Beach
10000314,2349,,,
