link_id,link_id_new,from_node_old,to_node_old,from_node_new,to_node_new,x_from,y_from,x_to,y_to,bias,mae,rmse,mape
9311,80,64412,64414,79,81,323361.6398,5815050.63,323366.0612,5815081.063,,,,
9312,81,64413,64415,80,82,323343.0612,5815072.063,323196.0612,5815088.063,,,,
9313,82,64415,64416,82,83,323196.0612,5815088.063,323174.0612,5815079.063,,,,
9316,83,64416,64417,83,84,323174.0612,5815079.063,323167.0612,5815063.063,,,,
9321,84,64417,64419,84,85,323167.0612,5815063.063,323180.0612,5815042.063,,,,
9322,85,64419,64420,85,86,323180.0612,5815042.063,323215.2526,5815028.816,,,,
9355,86,64454,64455,87,88,325401.27,5809005.633,325483.0612,5809625.063,,,,
9356,87,64454,64456,87,89,325401.27,5809005.633,325487.3668,5808993.665,,,,
9357,88,64454,64457,87,90,325401.27,5809005.633,325290.9549,5809019.376,,,,
9358,89,64455,64454,88,87,325483.0612,5809625.063,325401.27,5809005.633,,,,
9359,90,64455,64458,88,91,325483.0612,5809625.063,325477.0612,5809660.063,,,,
9362,93,64459,64462,92,95,324633.2298,5809120.548,324315.6391,5809159.759,,,,
9364,95,64463,64464,96,97,324734.7435,5809958.518,324425.637,5809995.747,,,,
9365,96,64463,64465,96,98,324734.7435,5809958.518,324960.2754,5809931.805,,,,
9366,97,64466,64467,99,100,323860.2139,5809233.502,323905.0577,5809610.064,,,,
9367,98,64466,64468,99,101,323860.2139,5809233.502,324071.9437,5809195.323,,,,
9368,99,64466,64469,99,102,323860.2139,5809233.502,323568.9328,5809270.325,,,,
9370,101,64470,64472,103,105,323736.2174,5808687.533,323457.9598,5808725.689,,,,
9371,102,64470,64473,103,106,323736.2174,5808687.533,323912.9457,5808656.322,,,,
9374,105,64475,64476,108,109,322674.3212,5809097.709,323076.0639,5809034.081,,,,
9375,106,64475,64477,108,110,322674.3212,5809097.709,322686.5924,5809203.885,,,,
9376,107,64475,64478,108,111,322674.3212,5809097.709,322646.968,5808839.719,,,,
9379,110,64474,64480,107,113,323482.0501,5808971.984,323513.0702,5809282.603,,,,
9380,111,64474,64472,107,105,323482.0501,5808971.984,323457.9598,5808725.689,,,,
9381,112,64481,64482,114,115,325009.8937,5810350.373,324865.0612,5810371.063,,,,
9382,113,64481,64483,114,116,325009.8937,5810350.373,325034.0612,5810521.063,,,,
9383,114,64481,64465,114,98,325009.8937,5810350.373,324960.2754,5809931.805,,,,
9384,115,64484,64485,117,118,325342.1136,5810861.336,325298.0612,5810894.063,,,,
9385,116,64484,64486,117,119,325342.1136,5810861.336,325410.0612,5810844.063,,,,
9386,117,64484,64487,117,120,325342.1136,5810861.336,325235.2938,5809897.656,,,,
9387,118,64488,64489,121,122,325704.5026,5810550.857,325716.0612,5810488.063,,,,
9388,119,64488,64490,121,123,325704.5026,5810550.857,325667.0612,5810615.063,,,,
9390,120,64492,64489,124,122,325647.2197,5809844.619,325716.0612,5810488.063,,,,
9391,121,64492,64493,124,125,325647.2197,5809844.619,325805.7497,5809824.397,,,,
9392,122,64492,64494,124,126,325647.2197,5809844.619,325375.963,5809879.32,,,,
9398,123,64502,64503,127,128,320724.6442,5808557.946,320880.0612,5808794.063,,,,
9399,124,64502,64504,127,129,320724.6442,5808557.946,320475.0612,5808702.063,,,,
9400,125,64502,64505,127,130,320724.6442,5808557.946,320932.0612,5808425.063,,,,
9401,126,64503,64502,128,127,320880.0612,5808794.063,320724.6442,5808557.946,,,,
9402,127,64503,64506,128,131,320880.0612,5808794.063,320293.0795,5809165.061,,,,
9403,128,64507,64508,132,133,319477.5324,5809109.261,319324.0252,5809193.497,,,,
9404,129,64507,64509,132,134,319477.5324,5809109.261,319624.1523,5809335.709,,,,
9405,130,64507,64510,132,135,319477.5324,5809109.261,319756.8096,5808951.922,-36.97594,43.47468,49.935883,0.16707063
9409,133,64514,64516,139,140,320332.9914,5809976.243,320190.164,5810343.832,-54.18683,71.83442,91.68738,0.18104333
9410,134,64514,64512,139,137,320332.9914,5809976.243,320117.9208,5809891.171,,,,
9411,135,64514,64517,139,141,320332.9914,5809976.243,320430.1843,5809732.121,-38.393482,38.393482,40.998222,0.32420135
9412,136,64518,64519,142,143,319309.0918,5809842.05,319502.2192,5810386.573,,,,
9413,137,64518,64520,142,144,319309.0918,5809842.05,318935.9599,5810103.434,,,,
9414,138,64518,64521,142,145,319309.0918,5809842.05,319233.6044,5809613.259,,,,
9415,139,64518,64513,142,138,319309.0918,5809842.05,319750.0551,5809532.071,,,,
9416,140,64522,64523,146,147,319070.1842,5810296.301,318850.0612,5810441.063,,,,
9417,141,64522,64524,146,148,319070.1842,5810296.301,319002.4674,5810202.632,,,,
9418,142,64522,64525,146,149,319070.1842,5810296.301,319200.0612,5810473.063,,,,
9419,143,64526,64527,150,151,318587.3953,5810785.264,318714.0776,5810617.076,,,,
9420,144,64526,64528,150,152,318587.3953,5810785.264,319100.6005,5810916.5,,,,
9421,145,64526,64529,150,153,318587.3953,5810785.264,318081.6396,5810650.358,-0.22900741,8.107383,10.10476,0.11491648
9422,146,64523,64522,147,146,318850.0612,5810441.063,319070.1842,5810296.301,,,,
9423,147,64523,64527,147,151,318850.0612,5810441.063,318714.0776,5810617.076,,,,
9424,148,64530,64531,154,155,326577.7428,5809715.609,326519.0612,5809264.063,,,,
9425,149,64530,64532,154,156,326577.7428,5809715.609,326322.6137,5809752.903,,,,
9426,150,64530,64533,154,157,326577.7428,5809715.609,326798.0025,5809691.649,,,,
9427,151,64534,64535,158,159,326468.2293,5808856.494,326224.7703,5808882.623,,,,
9428,152,64534,64531,158,155,326468.2293,5808856.494,326519.0612,5809264.063,,,,
9429,153,64534,64536,158,160,326468.2293,5808856.494,326684.0339,5808819.712,-6.247003,22.306604,25.88721,0.1576451
9430,154,64535,64534,159,158,326224.7703,5808882.623,326468.2293,5808856.494,,,,
9431,155,64535,64537,159,161,326224.7703,5808882.623,326212.0612,5808772.063,,,,
9432,156,64535,64538,159,162,326224.7703,5808882.623,325925.0538,5808930.66,,,,
9433,157,317267,64537,1923,161,326154.4957,5808289.662,326212.0612,5808772.063,,,,
9440,158,317379,64541,1972,163,325833.9527,5808124.433,325867.9497,5808370.123,-18.88115,30.51912,36.34394,0.18831523
9444,159,64548,64549,164,165,327107.794,5808755.551,327080.0612,5808470.063,,,,
9445,160,64548,64550,164,166,327107.794,5808755.551,327000.9541,5808772.321,,,,
9446,161,64548,318423,164,2280,327107.794,5808755.551,327749.1534,5808666.437,-12.340297,19.08175,24.608501,0.15523085
9448,162,317269,64549,1924,165,327054.1472,5808216.229,327080.0612,5808470.063,,,,
9487,163,64581,64482,167,115,324487.1867,5810415.813,324865.0612,5810371.063,,,,
9488,164,64581,64582,167,168,324487.1867,5810415.813,324496.0612,5810500.063,,,,
9489,165,64581,64583,167,169,324487.1867,5810415.813,324454.6891,5810227.11,,,,
9518,166,64609,64610,170,171,326730.7483,5811401.514,326667.0612,5810883.063,,,,
9519,167,64609,64611,170,172,326730.7483,5811401.514,326579.1956,5811419.938,,,,
9520,168,64609,64612,170,173,326730.7483,5811401.514,326997.0022,5811367.707,,,,
9522,169,317271,64613,1925,174,327769.6374,5810765.873,327361.1995,5810806.185,,,,
9524,170,64610,64609,171,170,326667.0612,5810883.063,326730.7483,5811401.514,,,,
9525,171,64610,64615,171,175,326667.0612,5810883.063,326935.039,5810856.035,,,,
9526,172,64616,64615,176,175,326908.0612,5810615.063,326935.039,5810856.035,,,,
9527,173,64616,64617,176,177,326908.0612,5810615.063,326857.0612,5810177.063,,,,
9528,174,64613,318425,174,2281,327361.1995,5810806.185,327769.9129,5810768.86,,,,
9529,175,64613,64618,174,178,327361.1995,5810806.185,327423.7473,5811311.533,,,,
9530,176,64613,64615,174,175,327361.1995,5810806.185,326935.039,5810856.035,,,,
9546,177,64618,64613,178,174,327423.7473,5811311.533,327361.1995,5810806.185,,,,
9547,178,64618,64612,178,173,327423.7473,5811311.533,326997.0022,5811367.707,,,,
9548,179,64618,318427,178,2282,327423.7473,5811311.533,327825.9026,5811264.889,,,,
