node_id,name,x_coord,y_coord,z_coord,node_type,ctrl_type,zone_id,parent_node_id
64523,,318850.0612,5810441.063,,,  ,,
64524,,319002.4674,5810202.632,,,  ,,
64525,,319200.0612,5810473.063,,,  ,,
64526,,318587.3953,5810785.264,,,  ,,
64527,,318714.0776,5810617.076,,,  ,,
64528,,319100.6005,5810916.5,,,Signal,,
64529,,318081.6396,5810650.358,,,Signal,,
64530,,326577.7428,5809715.609,,,  ,,
64531,,326519.0612,5809264.063,,,  ,,
64532,,326322.6137,5809752.903,,,  ,,
64533,,326798.0025,5809691.649,,,Signal,,
64534,,326468.2293,5808856.494,,,  ,,
64535,,326224.7703,5808882.623,,,  ,,
64536,,326684.0339,5808819.712,,,Signal,,
64537,,326212.0612,5808772.063,,,  ,,
64538,,325925.0538,5808930.66,,,Signal,,
64541,,325867.9497,5808370.123,,,Signal,,
64548,,327107.794,5808755.551,,,  ,,
64549,,327080.0612,5808470.063,,,  ,,
64550,,327000.9541,5808772.321,,,  ,,
64581,,324487.1867,5810415.813,,,  ,,
64582,,324496.0612,5810500.063,,,  ,,
64583,,324454.6891,5810227.11,,,  ,,
64609,,326730.7483,5811401.514,,,  ,,
64610,,326667.0612,5810883.063,,,  ,,
64611,,326579.1956,5811419.938,,,  ,,
64612,,326997.0022,5811367.707,,,Signal,,
64613,,327361.1995,5810806.185,,,  ,,
64615,,326935.039,5810856.035,,,Signal,,
64616,,326908.0612,5810615.063,,,  ,,
64617,,326857.0612,5810177.063,,,  ,,
64618,,327423.7473,5811311.533,,,  ,,
64738,,324331.9055,5812676.987,,,  ,,
64739,,323927.0583,5812727.105,,,Signal,,
64740,,324460.0612,5812664.063,,,  ,,
64741,,324290.0488,5812386.699,,,Signal,,
64742,,323199.7579,5811710.535,,,Signal,,
64743,,323169.0612,5811449.063,,,  ,,
64744,,322995.0469,5811737.946,,,Signal,,
64745,,323397.2385,5811687.637,,,Signal,,
64746,,323729.0227,5811111.306,,,Signal,,
64747,,323487.0612,5811140.063,,,  ,,
64748,,323753.9624,5811266.076,,,  ,,
64749,,323702.524,5810776.232,,,  ,,
64750,,323134.0612,5811186.063,,,  ,,
64751,,326832.9454,5814827.894,,,  ,,
64752,,326796.0612,5814601.063,,,  ,,
64754,,326582.8059,5814630.428,,,  ,,
64755,,326700.5112,5813825.567,,,  ,,
64756,,327085.0735,5814007.586,,,Signal,,
64757,,326711.0612,5813936.063,,,  ,,
64758,,326635.1731,5813788.25,,,  ,,
64759,,327055.9789,5813735.722,,,Signal,,
64760,,327315.0093,5814115.607,,,  ,,
64769,,327023.2077,5813486.176,,,Signal,,
64771,,327261.2703,5813713.571,,,  ,,
64772,,326887.0612,5813505.063,,,  ,,
64773,,327261.075,5813455.036,,,Signal,,
64783,,327377.4122,5812908.783,,,  ,,
64786,,327083.0112,5812048.67,,,Signal,,
65086,,324257.5881,5808605.717,,,Signal,,
65087,,323113.9682,5809338.323,,,  ,,
65088,,323353.9542,5809308.321,,,  ,,
65090,,322891.9579,5809366.321,,,  ,,
65096,,325088.8077,5808759.992,,,  ,,
65097,,325120.4045,5809047.622,,,Signal,,
65098,,325066.3221,5808486.714,,,Signal,,
65129,,326737.0612,5809242.063,,,  ,,
65130,,326773.5612,5809489.743,,,  ,,
65131,,326654.0612,5808545.063,,,  ,,
65132,,325897.0612,5808650.063,,,  ,,
65133,,325182.8042,5809515.961,,,  ,,
65134,,325236.1824,5809878.13,,,  ,,
65135,,324379.2899,5809648.169,,,  ,,
65137,,324329.2856,5809295.279,,,  ,,
65138,,321198.0612,5808677.063,,,  ,,
65139,,320842.3925,5809057.336,,,  ,,
65142,,320056.4654,5808773.308,,,  ,,
65144,,322249.0612,5809152.063,,,  ,,
65145,,322171.7799,5809404.09,,,  ,,
65146,,322332.9536,5808882.438,,,Signal,,
65147,,323917.0612,5813172.063,,,  ,,
65148,,323984.0656,5813182.059,,,Signal,,
65149,,323576.9135,5813216.946,,,Signal,,
65150,,323452.0612,5812167.063,,,  ,,
65151,,323486.055,5812475.698,,,Signal,,
65152,,324268.0612,5812215.063,,,  ,,
65153,,324193.2574,5811591.65,,,Signal,,
65154,,323848.0612,5812081.063,,,  ,,
65155,,323887.0582,5812429.695,,,Signal,,
65156,,323798.0071,5811639.685,,,Signal,,
65157,,324652.0612,5811984.063,,,  ,,
65158,,324695.0218,5812346.659,,,Signal,,
65159,,324603.985,5811543.711,,,Signal,,
65160,,323048.0612,5812217.063,,,  ,,
65161,,323081.2243,5812526.546,,,Signal,,
65162,,323009.6769,5811905.631,,,Signal,,
65172,,327362.2658,5814138.36,,,  ,,
65174,,326670.0612,5812597.063,,,  ,,
65175,,326356.2562,5812634.799,,,  ,,
65176,,327144.9655,5812534.208,,,  ,,
65186,,319393.0589,5817409.073,,,  ,,
65187,,319831.0612,5817350.063,,,  ,,
65188,,319430.7806,5817704.863,,,Signal,,
65189,,319086.9027,5817450.963,,,  ,,
65190,,319352.739,5817093.112,,,Signal,,
65191,,320411.6792,5817274.267,,,  ,,
65192,,320409.8082,5817209.999,,,  ,,
65193,,320450.4114,5817575.023,,,Signal,,
65194,,319312.3093,5817724.265,,,  ,,
65196,,318906.7326,5817773.783,,,  ,,
65210,,318495.1827,5817201.629,,,  ,,
65211,,318333.0279,5817252.851,,,Signal,,
65212,,319041.1255,5817133.049,,,Signal,,
65216,,320380.9971,5816957.131,,,Signal,,
65217,,321012.9478,5817510.959,,,  ,,
65218,,320989.0612,5817278.063,,,  ,,
65219,,321343.0897,5817472.081,,,Signal,,
65220,,320940.3402,5816890.282,,,  ,,
65221,,321402.0612,5817972.063,,,  ,,
65223,,321378.0612,5817743.063,,,  ,,
65225,,322058.8069,5817691.983,,,  ,,
65234,,320483.8069,5817879.983,,,  ,,
65236,,322024.5419,5817394.243,,,Signal,,
65523,,327121.7778,5817033.304,,,  ,,
66068,,322966.9973,5817110.538,,,  ,,
66069,,323088.9818,5817979.966,,,Signal,,
66070,,324738.0612,5816353.063,,,  ,,
66071,,324749.9008,5816432.981,,,  ,,
66072,,324731.2314,5816280.454,,,Signal,,
66073,,325441.0612,5816631.063,,,  ,,
66074,,325459.9781,5816785.071,,,  ,,
66075,,325412.4905,5816374.818,,,Signal,,
66076,,325849.0612,5816862.063,,,  ,,
66077,,326083.029,5816871.036,,,Signal,,
66078,,325466.1022,5816868.079,,,  ,,
66079,,325815.2541,5816478.339,,,  ,,
66080,,326081.1355,5816549.565,,,Signal,,
66083,,326715.7665,5816715.939,,,Signal,,
66084,,324161.0669,5817015.857,,,  ,,
66085,,323645.0993,5817087.05,,,Signal,,
66086,,324782.0668,5816941.051,,,  ,,
66087,,323610.0612,5816803.063,,,  ,,
66088,,323582.8285,5816592.964,,,  ,,
66089,,325512.0612,5817245.063,,,  ,,
66090,,325557.0715,5817672.095,,,Signal,,
66091,,325752.0612,5817654.063,,,  ,,
66092,,326169.0656,5817598.084,,,Signal,,
66097,,324863.0738,5817750.077,,,Signal,,
66275,,317454.0612,5817395.063,,,  ,,
66276,,317416.181,5817380.107,,,Signal,,
66279,,317500.0612,5817174.063,,,  ,,
66923,,322227.0612,5808851.063,,,  ,,
66924,,322136.3507,5808822.415,,,Signal,,
66925,,322329.0612,5808525.063,,,  ,,
66926,,322438.9002,5808546.852,,,Signal,,
66927,,322230.7236,5808511.797,,,Signal,,
66928,,322383.346,5808716.838,,,  ,,
66933,,325106.0096,5813213.692,,,  ,,
66934,,324808.7423,5813238.55,,,Signal,,
67025,,313515.0612,5811237.063,,,  ,,
67026,,313501.5195,5811376.141,,,Signal,,
67027,,313543.4566,5811015.848,,,Signal,,
67494,,323023.0612,5815122.063,,,  ,,
67495,,323198.2954,5815110.753,,,  ,,
68148,,323077.4139,5815079.651,,,  ,,
68149,,323166.2021,5815038.957,,,  ,,
68150,,323467.0612,5814971.063,,,  ,,
68151,,323200.0612,5815012.063,,,  ,,
68152,,323674.0612,5814934.063,,,  ,,
68153,,323411.9662,5814938.571,,,  ,,
68154,,323672.0612,5814954.063,,,  ,,
68155,,323720.8976,5815001.821,,,  ,,
68156,,323873.8769,5815011.33,,,  ,,
68157,,323418.0612,5815055.063,,,  ,,
68158,,323984.0612,5814984.063,,,  ,,
68159,,323825.2107,5814958.28,,,  ,,
68160,,324130.8921,5815073.584,,,  ,,
68161,,324341.0612,5815157.063,,,  ,,
68162,,325165.0612,5815506.063,,,  ,,
68163,,325366.0612,5815536.063,,,  ,,
68164,,325172.0612,5815469.063,,,  ,,
68165,,324961.0612,5815402.063,,,  ,,
68166,,326131.0612,5815510.063,,,  ,,
68167,,326336.0612,5815530.063,,,  ,,
68168,,325968.0612,5815525.063,,,  ,,
68169,,326107.0612,5815574.063,,,  ,,
68170,,326177.0612,5815624.063,,,  ,,
68171,,326199.0612,5815672.063,,,  ,,
68173,,326194.5625,5815706.681,,,  ,,
68174,,326331.8393,5815571.33,,,Signal,,
68175,,325997.0612,5815453.063,,,  ,,
68176,,325781.9774,5815477.207,,,  ,,
68177,,326139.0612,5815473.063,,,  ,,
68178,,326127.0612,5815891.063,,,  ,,
68179,,326091.0612,5816154.063,,,  ,,
68182,,326054.0612,5816641.063,,,  ,,
68184,,326619.0612,5815508.063,,,  ,,
68185,,326537.0612,5815461.063,,,  ,,
68459,,313420.0612,5814077.063,,,  ,,
68460,,313025.0565,5814123.02,,,  ,,
68461,,313471.8941,5814028.569,,,  ,,
68462,,315138.0612,5813869.063,,,  ,,
68463,,315020.1862,5813839.094,,,  ,,
68464,,315250.443,5813822.047,,,Signal,,
68465,,314074.0612,5814009.063,,,  ,,
68466,,313926.3305,5814026.914,,,  ,,
68467,,314152.0612,5813974.063,,,  ,,
68468,,313811.0612,5813999.063,,,  ,,
68469,,313872.5479,5814034.237,,,  ,,
68470,,313905.1315,5814030.791,,,  ,,
68841,,313732.9186,5809552.477,,,Signal,,
68981,,323647.0612,5810730.063,,,  ,,
68982,,323510.0612,5810781.063,,,  ,,
68983,,323647.0612,5810742.063,,,  ,,
68984,,323712.0612,5810731.063,,,  ,,
68985,,323314.0612,5810839.063,,,  ,,
68986,,322958.0612,5811196.063,,,  ,,
68987,,322883.0612,5811308.063,,,  ,,
68988,,322806.2296,5811400.009,,,  ,,
68989,,322949.0612,5811224.063,,,  ,,
68990,,322995.0612,5811170.063,,,  ,,
68991,,323109.0612,5811030.063,,,  ,,
68992,,323185.126,5810950.125,,,  ,,
68993,,322932.0612,5811002.063,,,  ,,
68994,,322887.8424,5810680.116,,,  ,,
68995,,322921.1575,5811070.025,,,Signal,,
68996,,323120.0612,5810830.063,,,  ,,
68997,,323219.0612,5810757.063,,,  ,,
68999,,324226.0612,5810660.063,,,  ,,
69000,,324080.0612,5810730.063,,,  ,,
69001,,324279.0612,5810628.063,,,  ,,
69002,,324343.0612,5810630.063,,,  ,,
69003,,323842.0612,5810649.063,,,  ,,
69004,,323754.0612,5810616.063,,,  ,,
69005,,323972.0612,5810677.063,,,  ,,
69006,,323697.9545,5810619.458,,,Signal,,
69007,,324641.0612,5810926.063,,,  ,,
69008,,324557.7745,5810947.839,,,  ,,
69009,,324691.0612,5810889.063,,,  ,,
69010,,324727.0612,5810842.063,,,  ,,
69011,,324766.0612,5810763.063,,,  ,,
69012,,324820.0612,5810728.063,,,  ,,
69015,,324962.0612,5810864.063,,,  ,,
69016,,324974.0612,5810938.063,,,  ,,
69017,,324998.0612,5810971.063,,,  ,,
69018,,325058.0612,5811010.063,,,  ,,
69019,,325089.8902,5811021.849,,,  ,,
69020,,325145.0612,5811034.063,,,  ,,
69021,,325184.0612,5811034.063,,,  ,,
69022,,325219.0612,5811005.063,,,  ,,
69023,,325456.0612,5810813.063,,,  ,,
69024,,325494.0612,5810784.063,,,  ,,
69025,,325607.0612,5810670.063,,,  ,,
69026,,325552.0612,5810699.063,,,  ,,
69028,,325284.0612,5811467.063,,,  ,,
69029,,325000.9632,5811496.28,,,  ,,
69030,,325356.0612,5811460.063,,,  ,,
69031,,325498.2732,5811501.154,,,Signal,,
69032,,325581.0612,5811535.063,,,  ,,
69033,,325710.0612,5811579.063,,,  ,,
69034,,325792.0612,5811593.063,,,  ,,
69036,,326066.0612,5811568.063,,,  ,,
69037,,325356.0612,5811429.063,,,  ,,
69038,,325424.0612,5811412.063,,,  ,,
69039,,325256.0612,5811429.063,,,  ,,
69040,,325474.0612,5811432.063,,,  ,,
69041,,326268.0177,5811456.691,,,  ,,
69042,,326212.8334,5811514.445,,,Signal,,
69044,,324369.9643,5814412.335,,,  ,,
69045,,323913.9837,5814433.317,,,  ,,
69046,,324503.656,5814341.433,,,  ,,
69047,,324435.7215,5814389.403,,,  ,,
69048,,324731.7015,5814208.406,,,  ,,
69049,,325523.8405,5813803.358,,,  ,,
69050,,325694.8206,5813778.951,,,Signal,,
69104,,318621.0612,5815655.063,,,  ,,
69105,,318651.9537,5815726.655,,,Signal,,
69106,,318611.0487,5815578.08,,,Signal,,
69107,,318548.0612,5815827.063,,,  ,,
69108,,318519.7692,5815753.196,,,  ,,
69109,,318406.0612,5815540.063,,,  ,,
69110,,318524.0612,5815813.063,,,  ,,
69111,,318541.0612,5815869.063,,,  ,,
69112,,318356.0612,5815415.063,,,  ,,
69113,,318391.0612,5815551.063,,,  ,,
69114,,318473.0612,5815702.063,,,  ,,
69153,,318319.0293,5817694.951,,,  ,,
69156,,318290.0612,5817340.063,,,  ,,
69157,,318302.0413,5817714.179,,,  ,,
69158,,318303.0612,5817373.063,,,  ,,
69159,,318307.0612,5817126.063,,,  ,,
69160,,318355.0612,5816856.063,,,  ,,
69161,,318315.0612,5817004.063,,,  ,,
69162,,318371.0612,5816846.063,,,  ,,
69163,,318526.9586,5816501.128,,,  ,,
69164,,320823.5516,5809999.615,,,  ,,
69166,,321016.7593,5810136.937,,,  ,,
69167,,320788.2218,5810083.913,,,Signal,,
69168,,320800.0612,5809766.063,,,  ,,
69169,,320701.0612,5809752.063,,,  ,,
69170,,320685.0612,5809724.063,,,  ,,
69171,,320796.0612,5809540.063,,,  ,,
69172,,321056.0612,5809249.063,,,  ,,
69173,,321057.0612,5809195.063,,,  ,,
69174,,321039.0612,5809289.063,,,  ,,
69175,,321039.0612,5809143.063,,,  ,,
69176,,321610.0612,5808597.063,,,  ,,
69177,,321661.0612,5808575.063,,,  ,,
69178,,321748.0612,5808659.063,,,  ,,
69179,,321881.0612,5808483.063,,,  ,,
69180,,321774.0612,5808657.063,,,  ,,
69182,,322209.7455,5808546.059,,,  ,,
69183,,322182.0931,5808465.785,,,  ,,
69184,,322189.0612,5808631.063,,,  ,,
69185,,322158.0612,5808571.063,,,  ,,
69186,,321915.0332,5809035.492,,,  ,,
69187,,322050.8695,5809098.162,,,  ,,
69189,,321808.0612,5809121.063,,,  ,,
69190,,321973.0612,5809351.063,,,  ,,
69191,,322074.0612,5808849.063,,,  ,,
69192,,321379.0612,5810139.063,,,  ,,
69193,,321465.0612,5810086.063,,,  ,,
69194,,321269.0612,5810157.063,,,  ,,
69195,,321537.0612,5809864.063,,,  ,,
69196,,321512.0612,5809768.063,,,  ,,
69197,,321458.0612,5809696.063,,,  ,,
69198,,321426.0612,5809468.063,,,  ,,
69199,,321462.0612,5809321.063,,,  ,,
69200,,321697.0612,5809100.063,,,  ,,
69201,,321551.0612,5809203.063,,,  ,,
69202,,320628.0612,5809355.063,,,  ,,
69203,,320524.017,5809535.26,,,Signal,,
69211,,316311.7475,5814901.522,,,  ,,
69212,,316178.0612,5814825.063,,,  ,,
69213,,316649.0612,5815176.063,,,  ,,
69214,,316428.8103,5814161.345,,,Signal,,
69215,,316116.0612,5814807.063,,,  ,,
69216,,314665.0612,5815327.063,,,  ,,
69218,,314628.0612,5815259.063,,,  ,,
69219,,314927.0612,5815391.063,,,  ,,
69220,,315053.0612,5815388.063,,,  ,,
69221,,315160.9026,5815379.918,,,  ,,
69222,,315397.0612,5815493.063,,,  ,,
69224,,315471.0612,5815576.063,,,  ,,
69225,,315531.0612,5815785.063,,,  ,,
69226,,315564.0612,5816077.063,,,  ,,
69233,,316199.0612,5811834.063,,,  ,,
69234,,316155.0612,5811771.063,,,  ,,
69235,,316134.0612,5811693.063,,,  ,,
69236,,316200.0612,5811435.063,,,  ,,
69237,,316979.6745,5812030.575,,,Signal,,
69238,,315352.0612,5810773.063,,,  ,,
69239,,315151.0612,5810921.063,,,  ,,
69240,,315534.0612,5810656.063,,,  ,,
69241,,315651.0612,5810602.063,,,  ,,
69242,,315359.0612,5810796.063,,,  ,,
69243,,315540.0612,5810677.063,,,  ,,
69244,,315655.0612,5810625.063,,,  ,,
69257,,320478.8815,5811323.634,,,  ,,
69258,,320711.0612,5811446.063,,,  ,,
69260,,323673.0612,5810779.063,,,  ,,
69264,,317809.0612,5811145.063,,,  ,,
69265,,317871.7559,5811213.705,,,  ,,
