loc_id,link_id,ref_node_id,lr,x_coord,y_coord,z_coord,loc_type,zone_id,gfts_stop_id
247430,41775,,,321100.0548,5812476.339,,Detector,,
247431,41775,,,321100.0548,5812476.339,,Detector,,
247442,40315,,,320797.3633,5812608.521,,Detector,,
247443,40324,,,320791.1338,5812641.676,,Detector,,
247444,41540,,,320810.0904,5812629.632,,Detector,,
247445,41619,,,320778.1073,5812620.238,,Detector,,
247460,41309,,,321741.5934,5812764.703,,Detector,,
247461,41309,,,321741.5934,5812764.703,,Detector,,
247462,41471,,,321761.4454,5812743.541,,Detector,,
247463,41471,,,321761.4454,5812743.541,,Detector,,
247464,41503,,,321728.3862,5812744.77,,Detector,,
247465,41503,,,321728.3862,5812744.77,,Detector,,
247475,40208,,,321633.252,5812694.105,,Detector,,
247476,41465,,,321633.6149,5812701.309,,Detector,,
247477,41543,,,321600.4793,5812694.965,,Detector,,
247489,36127,,,321665.913,5812978.82,,Detector,,
247490,36188,,,321654.7566,5812980.654,,Detector,,
247491,36188,,,321654.7566,5812980.654,,Detector,,
247492,41358,,,321641.9829,5812959.492,,Detector,,
247493,41463,,,321662.8897,5812948.06,,Detector,,
247510,18780,,,321531.7958,5812644.099,,Detector,,
247511,41430,,,321522.2111,5812683.266,,Detector,,
247512,41504,,,321544.7274,5812667.335,,Detector,,
247513,41504,,,321544.7274,5812667.335,,Detector,,
247514,41623,,,321505.424,5812658.66,,Detector,,
247515,41623,,,321505.424,5812658.66,,Detector,,
247527,41815,,,320555.6281,5812279.308,,Detector,,
247528,41867,,,320522.4855,5812272.864,,Detector,,
247529,190322,,,320543.277,5812259.924,,Detector,,
247541,22398,,,320356.7455,5812473.603,,Detector,,
247542,22398,,,320356.7455,5812473.603,,Detector,,
247543,22400,,,320376.1618,5812461.374,,Detector,,
247544,41766,,,320344.0649,5812452.38,,Detector,,
247545,41866,,,320363.3882,5812440.526,,Detector,,
247560,22399,,,320561.3039,5812533.57,,Detector,,
247561,22402,,,320575.5535,5812558.258,,Detector,,
247562,22402,,,320575.5535,5812558.258,,Detector,,
247563,40313,,,320582.6593,5812519.232,,Detector,,
247564,40313,,,320582.6593,5812519.232,,Detector,,
247565,41620,,,320598.712,5812544.908,,Detector,,
247579,41688,,,320141.1529,5812392.257,,Detector,,
247580,41688,,,320141.1529,5812392.257,,Detector,,
247581,41707,,,320163.1283,5812377.955,,Detector,,
247582,41833,,,320124.9891,5812366.189,,Detector,,
247583,41857,,,320146.8158,5812351.848,,Detector,,
247597,40358,,,320057.219,5812612.267,,Detector,,
247598,40358,,,320057.219,5812612.267,,Detector,,
247599,41535,,,320079.2376,5812597.588,,Detector,,
247600,41672,,,320041.0084,5812586.126,,Detector,,
247601,41687,,,320062.9403,5812571.865,,Detector,,
247613,40301,,,319933.3579,5812271.52,,Detector,,
247614,41673,,,319926.6946,5812304.593,,Detector,,
247615,41767,,,319946.0615,5812292.732,,Detector,,
247629,24828,,,320429.5531,5812236.593,,Detector,,
247630,24828,,,320429.5531,5812236.593,,Detector,,
247631,41708,,,320442.7341,5812256.601,,Detector,,
247632,41708,,,320442.7341,5812256.601,,Detector,,
247633,41850,,,320462.6248,5812243.258,,Detector,,
247634,41889,,,320455.8618,5812226.333,,Detector,,
247635,41889,,,320455.8618,5812226.333,,Detector,,
247651,41856,,,320224.2456,5812171.271,,Detector,,
247652,41856,,,320224.2456,5812171.271,,Detector,,
247653,41865,,,320246.6264,5812155.776,,Detector,,
247654,41865,,,320246.6264,5812155.776,,Detector,,
247655,41952,,,320207.4853,5812146.395,,Detector,,
247656,41952,,,320207.4853,5812146.395,,Detector,,
247657,41983,,,320229.8182,5812130.848,,Detector,,
247673,41951,,,319748.5272,5811960.296,,Detector,,
247674,42070,,,319709.0634,5811953.203,,Detector,,
247675,42843,,,319742.4815,5811970.785,,Detector,,
247676,42843,,,319742.4815,5811970.785,,Detector,,
247689,21898,,,319574.8325,5812403.406,,Detector,,
247690,21902,,,319588.6261,5812425.132,,Detector,,
247691,40303,,,319602.8257,5812387.497,,Detector,,
247701,40300,,,319839.9592,5812522.645,,Detector,,
247702,41603,,,319859.0461,5812510.785,,Detector,,
247703,41832,,,319846.4278,5812489.534,,Detector,,
247715,40309,,,320792.245,5811901.173,,Detector,,
247718,41946,,,320828.6168,5811919.524,,Detector,,
