name,link_id,from_node_id,to_node_id,facility_type,dir_flag,length,lanes,capacity,free_speed,link_type,cost,VDF_fftt1,VDF_cap1,VDF_alpha1,VDF_beta1,VDF_theta1,VDF_gamma1,VDF_mu1,RUC_rho1,RUC_resource1,RUC_type,is_connector
,36,39,40,Highway,1,0.2245498246094326,1.0,1000.0,50.0,1,0,0.2694597895313191,1000.0,0.15,4,1.0,1,100,10,0,1,0
,37,39,2277,Highway,1,0.2245498246094326,1.0,1000.0,50.0,1,0,0.2694597895313191,1000.0,0.15,4,1.0,1,100,10,0,1,0
,38,40,39,Highway,1,0.2245498246094326,1.0,1000.0,50.0,1,0,0.2694597895313191,1000.0,0.15,4,1.0,1,100,10,0,1,0
,39,40,41,Highway,1,0.2245498246094326,1.0,700.0,50.0,1,0,0.2694597895313191,700.0,0.15,4,1.0,1,100,10,0,1,0
,40,1947,42,Highway,1,0.6603720551535387,2.0,1300.0,50.0,1,0,0.7924464661842465,1300.0,0.15,4,1.0,1,100,10,0,1,0
,41,43,44,Highway,1,0.406915024369047,1.0,1000.0,50.0,1,0,0.4882980292428564,1000.0,0.15,4,1.0,1,100,10,0,1,0
,42,43,45,Highway,1,0.188171578575575,2.0,1300.0,50.0,1,0,0.22580589429069,1300.0,0.15,4,1.0,1,100,10,0,1,0
,43,43,46,Highway,1,0.1641859988405254,2.0,1400.0,50.0,1,0,0.1970231986086305,1400.0,0.15,4,1.0,1,100,10,0,1,0
,44,44,43,Highway,1,0.406915024369047,1.0,1000.0,50.0,1,0,0.4882980292428564,1000.0,0.15,4,1.0,1,100,10,0,1,0
,45,44,47,Highway,1,0.578410876688958,1.0,1000.0,50.0,1,0,0.6940930520267495,1000.0,0.15,4,1.0,1,100,10,0,1,0
,46,45,43,Highway,1,0.188171578575575,2.0,1300.0,50.0,1,0,0.22580589429069,1300.0,0.15,4,1.0,1,100,10,0,1,0
,47,45,48,Highway,1,0.5523005942955335,1.0,1000.0,50.0,1,0,0.6627607131546401,1000.0,0.15,4,1.0,1,100,10,0,1,0
,48,45,49,Highway,1,0.7786569416618113,2.0,1300.0,50.0,1,0,0.9343883299941736,1300.0,0.15,4,1.0,1,100,10,0,1,0
,49,48,45,Highway,1,0.5523005942955335,1.0,1000.0,50.0,1,0,0.6627607131546401,1000.0,0.15,4,1.0,1,100,10,0,1,0
,50,48,50,Highway,1,0.2848657577402924,2.0,1800.0,60.0,1,0,0.2848657577402924,1800.0,0.15,4,1.0,1,100,10,0,1,0
,51,48,51,Highway,1,0.3089649014368787,2.0,1800.0,60.0,1,0,0.3089649014368787,1800.0,0.15,4,1.0,1,100,10,0,1,0
,52,52,53,Highway,1,0.665618236207553,1.0,1000.0,50.0,1,0,0.7987418834490636,1000.0,0.15,4,1.0,1,100,10,0,1,0
,53,52,54,Highway,1,0.4164172994287317,2.0,1300.0,50.0,1,0,0.499700759314478,1300.0,0.15,4,1.0,1,100,10,0,1,0
,54,52,55,Highway,1,0.0485493792785073,2.0,1300.0,50.0,1,0,0.0582592551342087,1300.0,0.15,4,1.0,1,100,10,0,1,0
,55,53,52,Highway,1,0.665618236207553,1.0,1000.0,50.0,1,0,0.7987418834490636,1000.0,0.15,4,1.0,1,100,10,0,1,0
,56,53,50,Highway,1,0.1830852425810879,1.0,1000.0,50.0,1,0,0.2197022910973055,1000.0,0.15,4,1.0,1,100,10,0,1,0
,57,1980,56,Highway,1,0.2245498246094326,1.0,650.0,50.0,1,0,0.2694597895313191,650.0,0.15,4,1.0,1,100,10,0,1,0
,58,57,59,Highway,1,0.3853140472207949,2.0,2000.0,50.0,1,0,0.4623768566649539,2000.0,0.15,4,1.0,1,100,10,0,1,0
,59,57,60,Highway,1,0.5168744405711837,2.0,1300.0,50.0,1,0,0.6202493286854204,1300.0,0.15,4,1.0,1,100,10,0,1,0
,60,57,61,Highway,1,0.1772452076114478,2.0,1300.0,50.0,1,0,0.2126942491337374,1300.0,0.15,4,1.0,1,100,10,0,1,0
,61,1921,62,Highway,1,0.3461291436326005,2.0,1500.0,90.0,1,0,0.2307527624217336,1500.0,0.15,4,1.0,1,100,10,0,1,0
,62,63,64,Highway,1,0.4338215814628685,1.0,1000.0,50.0,1,0,0.5205858977554422,1000.0,0.15,4,1.0,1,100,10,0,1,0
,63,63,65,Highway,1,0.2780218332123167,1.0,1000.0,50.0,1,0,0.33362619985478,1000.0,0.15,4,1.0,1,100,10,0,1,0
,64,63,66,Highway,1,0.7822651897121985,1.0,650.0,50.0,1,0,0.938718227654638,650.0,0.15,4,1.0,1,100,10,0,1,0
,65,63,67,Highway,1,0.2532323482120349,1.0,650.0,50.0,1,0,0.3038788178544419,650.0,0.15,4,1.0,1,100,10,0,1,0
,66,68,65,Highway,1,0.326557415265605,1.0,1000.0,50.0,1,0,0.391868898318726,1000.0,0.15,4,1.0,1,100,10,0,1,0
,67,68,69,Highway,1,0.1671212872883656,2.0,1300.0,50.0,1,0,0.2005455447460387,1300.0,0.15,4,1.0,1,100,10,0,1,0
,68,68,70,Highway,1,0.2496596279119406,2.0,1300.0,50.0,1,0,0.2995915534943288,1300.0,0.15,4,1.0,1,100,10,0,1,0
,69,1922,71,Highway,1,0.2245498246094326,1.0,1000.0,50.0,1,0,0.2694597895313191,1000.0,0.15,4,1.0,1,100,10,0,1,0
,70,64,63,Highway,1,0.4338215814628685,1.0,1000.0,50.0,1,0,0.5205858977554422,1000.0,0.15,4,1.0,1,100,10,0,1,0
,71,64,71,Highway,1,0.2245498246094326,1.0,1000.0,50.0,1,0,0.2694597895313191,1000.0,0.15,4,1.0,1,100,10,0,1,0
,72,65,63,Highway,1,0.2780218332123167,1.0,1000.0,50.0,1,0,0.33362619985478,1000.0,0.15,4,1.0,1,100,10,0,1,0
,73,65,68,Highway,1,0.326557415265605,1.0,1000.0,50.0,1,0,0.391868898318726,1000.0,0.15,4,1.0,1,100,10,0,1,0
,74,72,73,Highway,1,0.0708242096549996,2.0,1500.0,90.0,1,0,0.0472161397699997,1500.0,0.15,4,1.0,1,100,10,0,1,0
,75,72,74,Highway,1,0.5481275149007163,2.0,1500.0,90.0,1,0,0.3654183432671442,1500.0,0.15,4,1.0,1,100,10,0,1,0
