name,link_id,from_node_id,to_node_id,facility_type,dir_flag,length,lanes,capacity,free_speed,link_type,cost,VDF_fftt1,VDF_cap1,VDF_alpha1,VDF_beta1,VDF_theta1,VDF_gamma1,VDF_mu1,RUC_rho1,RUC_resource1,RUC_type,is_connector,x_from,y_from,x_to,y_to
,1,1,2,Highway,1,0.1713534359153617,5.0,9000.0,100.0,1,0,0.102812061549217,9000.0,0.15,4,1,1,100,10,0,1,0,315981.0612,5810552.063,315810.0612,5810563.063
,2,3,4,Highway,1,0.1488623525274271,5.0,9000.0,100.0,1,0,0.0893174115164563,9000.0,0.15,4,1,1,100,10,0,1,0,315979.0612,5810574.063,316127.0612,5810590.063
,3,5,6,Highway,1,0.1147780373153493,1.0,1800.0,100.0,1,0,0.0688668223892096,1800.0,0.15,4,1,1,100,10,0,1,0,317903.3002,5811199.09,317820.0612,5811120.063
,4,8,9,Highway,1,0.0385719602452435,1.0,1000.0,50.0,1,0,0.0462863522942922,1000.0,0.15,4,1,1,100,10,0,1,0,323015.0612,5815055.063,323021.0258,5815093.171
,5,10,8,Highway,1,0.2846752535785293,1.0,950.0,90.0,1,0,0.1897835023856862,950.0,0.15,4,1,1,100,10,0,1,0,323287.0612,5814971.063,323015.0612,5815055.063
,6,11,12,Highway,1,0.3506590438771872,1.0,1000.0,50.0,1,0,0.4207908526526247,1000.0,0.15,4,1,1,100,10,0,1,0,314220.2715,5808702.8,314568.0924,5808658.276
,7,11,13,Highway,1,0.1266019375647398,2.0,1500.0,90.0,1,0,0.0844012917098265,1500.0,0.15,4,1,1,100,10,0,1,0,314220.2715,5808702.8,314158.0612,5808813.063
,8,11,2275,Highway,1,0.902803216857835,2.0,1500.0,90.0,1,0,0.6018688112385567,1500.0,0.15,4,1,1,100,10,0,1,0,314220.2715,5808702.8,314667.7315,5807918.687
,9,14,12,Highway,1,0.2021976330674349,1.0,1000.0,50.0,1,0,0.2426371596809218,1000.0,0.15,4,1,1,100,10,0,1,0,314769.0621,5808636.026,314568.0924,5808658.276
,10,14,15,Highway,1,0.5039931924034767,2.0,1300.0,50.0,1,0,0.6047918308841721,1300.0,0.15,4,1,1,100,10,0,1,0,314769.0621,5808636.026,314524.3152,5809076.603
,11,14,16,Highway,1,0.2884764451888239,1.0,1000.0,50.0,1,0,0.3461717342265887,1000.0,0.15,4,1,1,100,10,0,1,0,314769.0621,5808636.026,315054.9062,5808597.144
,12,14,2276,Highway,1,0.5658574171833376,2.0,1300.0,50.0,1,0,0.6790289006200051,1300.0,0.15,4,1,1,100,10,0,1,0,314769.0621,5808636.026,315063.4185,5808152.757
,13,1920,17,Highway,1,0.5233309771895241,2.0,1500.0,90.0,1,0,0.3488873181263494,1500.0,0.15,4,1,1,100,10,0,1,0,312356.4766,5812172.386,312875.0612,5812102.063
,14,18,19,Highway,1,0.3735657241243503,1.0,1000.0,50.0,1,0,0.4482788689492204,1000.0,0.15,4,1,1,100,10,0,1,0,313426.8868,5812878.968,313368.0612,5812510.063
,15,18,20,Highway,1,0.3702303740109941,1.0,700.0,50.0,1,0,0.4442764488131929,700.0,0.15,4,1,1,100,10,0,1,0,313426.8868,5812878.968,313060.0612,5812929.063
,16,18,21,Highway,1,0.2635347644179991,1.0,700.0,50.0,1,0,0.316241717301599,700.0,0.15,4,1,1,100,10,0,1,0,313426.8868,5812878.968,313687.969,5812843.098
,17,19,18,Highway,1,0.3735657241243503,1.0,1000.0,50.0,1,0,0.4482788689492204,1000.0,0.15,4,1,1,100,10,0,1,0,313368.0612,5812510.063,313426.8868,5812878.968
