link_id,from_node_id,to_node_id,capacity,free_speed,lanes,length,free_flow_travel_time,is_connector,link_id_new
2967.0,60399.0,60400.0,9000.0,100.0,5.0,0.17135343591536178,0.10281206154921707,0,1
2970.0,60404.0,60405.0,9000.0,100.0,5.0,0.14886235252742716,0.08931741151645631,0,2
3008.0,60436.0,60437.0,1800.0,100.0,1.0,0.11477803731534936,0.0688668223892096,0,3
3507.0,60903.0,60904.0,1000.0,50.0,1.0,0.03857196024524352,0.04628635229429223,0,4
4905.0,61867.0,60903.0,950.0,90.0,1.0,0.28467525357852935,0.18978350238568623,0,5
8148.0,63750.0,63751.0,1000.0,50.0,1.0,0.35065904387718727,0.4207908526526247,0,6
8149.0,63750.0,63752.0,1500.0,90.0,2.0,0.12660193756473986,0.08440129170982658,0,7
8150.0,63750.0,318409.0,1500.0,90.0,2.0,0.902803216857835,0.6018688112385567,0,8
8151.0,63754.0,63751.0,1000.0,50.0,1.0,0.2021976330674349,0.24263715968092187,0,9
8152.0,63754.0,63755.0,1300.0,50.0,2.0,0.5039931924034767,0.6047918308841721,0,10
8153.0,63754.0,63756.0,1000.0,50.0,1.0,0.2884764451888239,0.3461717342265887,0,11
8154.0,63754.0,318411.0,1300.0,50.0,2.0,0.5658574171833376,0.6790289006200051,0,12
8216.0,317260.0,63795.0,1500.0,90.0,2.0,0.5233309771895241,0.34888731812634943,0,13
8218.0,63797.0,63798.0,1000.0,50.0,1.0,0.37356572412435035,0.4482788689492204,0,14
8219.0,63797.0,63799.0,700.0,50.0,1.0,0.3702303740109941,0.44427644881319295,0,15
8220.0,63797.0,63800.0,700.0,50.0,1.0,0.26353476441799917,0.316241717301599,0,16
8224.0,63798.0,63797.0,1000.0,50.0,1.0,0.37356572412435035,0.4482788689492204,0,17
8225.0,63798.0,63804.0,1000.0,50.0,1.0,0.04378205671287052,0.05253846805544462,0,18
8226.0,63805.0,63806.0,1700.0,90.0,2.0,0.04998141675782807,0.03332094450521871,0,19
8227.0,63805.0,63807.0,1000.0,50.0,1.0,0.4083287287899654,0.4899944745479585,0,20
8228.0,63805.0,63808.0,1700.0,90.0,2.0,0.09424922486042749,0.06283281657361832,0,21
8230.0,63809.0,63811.0,1000.0,50.0,1.0,0.16218275898236129,0.19461931077883354,0,22
8231.0,63809.0,63812.0,1000.0,50.0,1.0,0.4477448717080622,0.5372938460496747,0,23
8232.0,63813.0,63814.0,1700.0,90.0,2.0,0.13618257606995232,0.09078838404663488,0,24
8233.0,63813.0,63815.0,1000.0,50.0,1.0,0.49458369971651456,0.5935004396598175,0,25
8234.0,63813.0,63816.0,1700.0,90.0,2.0,0.3746368998780751,0.24975793325205004,0,26
8235.0,63817.0,63818.0,1000.0,50.0,1.0,0.4907562004295735,0.5889074405154883,0,27
8236.0,63817.0,63819.0,1000.0,50.0,1.0,0.20681342648341183,0.2481761117800942,0,28
8237.0,63817.0,63811.0,1000.0,50.0,1.0,0.4504738070266772,0.5405685684320126,0,29
8238.0,63817.0,63812.0,1000.0,50.0,1.0,0.1725437989187725,0.207052558702527,0,30
8239.0,63820.0,63818.0,1000.0,50.0,1.0,0.14914146529054795,0.17896975834865753,0,31
8240.0,63820.0,63821.0,1400.0,50.0,2.0,0.09574276550034902,0.11489131860041882,0,32
8241.0,63820.0,63814.0,1400.0,50.0,2.0,0.10369311318845051,0.12443173582614062,0,33
8242.0,63818.0,63817.0,1000.0,50.0,1.0,0.4907562004295735,0.5889074405154883,0,34
8243.0,63818.0,63820.0,1000.0,50.0,1.0,0.14914146529054795,0.17896975834865753,0,35
8367.0,63930.0,63931.0,1000.0,50.0,1.0,0.2245498246094326,0.2694597895313191,0,36
8368.0,63930.0,318413.0,1000.0,50.0,1.0,0.2245498246094326,0.2694597895313191,0,37
8379.0,63931.0,63930.0,1000.0,50.0,1.0,0.2245498246094326,0.2694597895313191,0,38
8380.0,63931.0,63943.0,700.0,50.0,1.0,0.2245498246094326,0.2694597895313191,0,39
8487.0,317323.0,64032.0,1300.0,50.0,2.0,0.6603720551535387,0.7924464661842465,0,40
8496.0,64038.0,64039.0,1000.0,50.0,1.0,0.40691502436904703,0.4882980292428564,0,41
8497.0,64038.0,64040.0,1300.0,50.0,2.0,0.18817157857557507,0.22580589429069006,0,42
8498.0,64038.0,64041.0,1400.0,50.0,2.0,0.1641859988405254,0.1970231986086305,0,43
8499.0,64039.0,64038.0,1000.0,50.0,1.0,0.40691502436904703,0.4882980292428564,0,44
