link_id,from_node_id,to_node_id,time_period,volume,travel_time,speed,VOC,geometry
1,1,2,AM,7748.35371045963,0.11128439500714618,92.38677313437782,0.86092819005107,
2,3,4,AM,21345.630766328668,0.5132466010936821,17.40243604655714,2.3717367518142964,
3,5,6,AM,2516.5047916776207,0.10833093392065882,63.57078250580521,1.3980582175986782,
4,8,9,AM,2590.281184309634,0.35884524455296385,6.4493473157146095,2.5902811843096343,
5,10,8,AM,2590.281184309634,1.763197242757453,9.687240202349482,2.7266117729575097,
6,11,12,AM,845.7905493309521,0.4530913241544995,46.43554513406875,0.8457905493309521,
7,11,13,AM,1920.7706640111955,0.11844033714372232,64.13453758297584,1.2805137760074636,
8,11,2275,AM,944.5748957639445,0.616065061858655,87.92609152034339,0.629716597175963,
9,14,12,AM,391.5405852026985,0.2434925330301948,49.82435326894257,0.39154058520269847,
10,14,15,AM,61.522043276778426,0.6047922859212331,49.99996238071552,0.04732464867444494,
11,14,16,AM,2285.8352123650207,1.763800565184404,9.813233453363724,2.2858352123650207,
12,14,2276,AM,78.34939646465362,0.6790302444636145,49.99990104685172,0.06026876651127202,
13,1920,17,AM,316.01856206023615,0.34899041886499316,89.97341168703682,0.21067904137349078,
14,18,19,AM,1438.1847993517329,0.7359513397642601,30.455741074730092,1.438184799351733,
15,18,20,AM,95.43528849540573,0.44429947321488766,49.99740890963385,0.13633612642200818,
16,18,21,AM,451.16310135351785,0.3244273556350585,48.738448193211646,0.6445187162193112,
17,19,18,AM,294.4211830557882,0.44878412990634103,49.94370779585877,0.29442118305578824,
18,19,22,AM,1434.489264698886,0.08590859618090241,30.578120462364144,1.434489264698886,
19,23,24,AM,3535.85958628155,0.12685998655384137,23.639329365661773,2.0799174036950294,
20,23,25,AM,381.5772747766726,0.49155263597705606,49.84150614653908,0.3815772747766726,
21,23,26,AM,3122.86256126684,0.17015600985167695,33.23393335654146,1.8369779772157884,
22,27,28,AM,1104.4501988801974,0.23805650255166613,40.8767054654587,1.1044501988801974,
23,27,29,AM,217.14357877954535,0.5374730266925057,49.98333119673616,0.21714357877954535,
24,30,31,AM,3770.6320440318427,0.42038479624871616,19.436846044648295,2.2180188494304955,
25,30,32,AM,1454.3807832871935,0.9918137454669214,29.91995434487612,1.4543807832871936,
26,30,33,AM,4329.932164835862,1.8264222382831783,12.307238447673434,2.5470189204916833,
27,34,35,AM,52.02683928346468,0.5889080877297383,49.999945049638164,0.05202683928346468,
28,34,36,AM,908.0673068512187,0.2734879330592214,45.37240619796446,0.9080673068512187,
