link_id,from_node_id,to_node_id,time_period,volume,travel_time,speed,VOC,geometry
1,1,2,AM,7284.021279217254,0.10942889361204984,93.95330442954949,0.809335697690806,
2,3,4,AM,22350.42838979929,0.5988837795332389,14.913980736975198,2.483380932199921,
3,5,6,AM,3670.5498966628993,0.2474891777351412,27.826195480317004,2.0391943870349443,
4,8,9,AM,692.6882780950227,0.047884789461340414,48.33095521038188,0.6926882780950228,
5,10,8,AM,692.6882780950227,0.19782999558759193,86.33936003475837,0.7291455558894976,
6,11,12,AM,748.7746727604901,0.4406317876109608,47.74858106970554,0.7487746727604901,
7,11,13,AM,1263.7396513184308,0.09077960379301692,83.67646405688221,0.8424931008789539,
8,11,2275,AM,934.0296874504357,0.6154416528897649,88.01515587566585,0.6226864583002905,
9,14,12,AM,154.4407874895489,0.24265786569963527,49.99573349525397,0.1544407874895489,
10,14,15,AM,62.22609552896749,0.6047923071111253,49.999960628884686,0.047866227329974996,
11,14,16,AM,1478.5328788586412,0.5943174658062593,29.123469706293026,1.4785328788586412,
12,14,2276,AM,66.34480699856213,0.6790295915496851,49.999949123743015,0.051034466921970875,
13,1920,17,AM,275.8233601647994,0.34894715041090657,89.98456813416071,0.18388224010986626,
14,18,19,AM,827.8144277651452,0.47985591437699365,46.709736768716255,0.8278144277651451,
15,18,20,AM,87.02520606814691,0.4442923684308166,49.99820842999399,0.12432172295449559,
16,18,21,AM,190.48477472553594,0.3165018286696492,49.95890839412467,0.2721211067507656,
17,19,18,AM,140.53031737580685,0.448305094199096,49.99707506671071,0.14053031737580685,
18,19,22,AM,822.8151591736644,0.056150718071435984,46.783433818784104,0.8228151591736643,
19,23,24,AM,2341.791019033776,0.051318164328040886,58.437105939719906,1.3775241288433977,
20,23,25,AM,217.87169941683032,0.4901600842308442,49.98310657189216,0.21787169941683032,
21,23,26,AM,3479.3275141598897,0.22820533771091822,24.780110528304657,2.0466632436234646,
22,27,28,AM,972.0446461607116,0.22068216888849423,44.094933396537854,0.9720446461607116,
23,27,29,AM,448.56660782895506,0.5405567995764552,49.698185877105125,0.4485666078289551,
24,30,31,AM,2321.3555770376747,0.13813539169737643,59.15178191334094,1.3655032806103968,
25,30,32,AM,1144.820905334779,0.7464198129944108,39.75647680618719,1.1448209053347789,
26,30,33,AM,3895.521409634616,1.2827030520432332,17.524098002946733,2.2914831821380095,
27,34,35,AM,23.428992958857236,0.5889074671321012,49.999997740170194,0.023428992958857236,
28,34,36,AM,619.2308978448677,0.2536495687504267,48.921059279285025,0.6192308978448677,
29,34,28,AM,1240.6882838848828,0.7326975025187297,36.88893210183927,1.2406882838848827,
30,34,29,AM,1005.3401176989017,0.23877918651095234,43.35649219012435,1.0053401176989016,
31,37,35,AM,836.3871122180848,0.19210688054562947,46.58077780461079,0.8363871122180848,
32,37,38,AM,1804.399851168573,0.16244645816700576,35.36282658816202,1.2888570365489807,
33,37,31,AM,1085.4889203426058,0.131177200243269,47.4288731560748,0.775349228816147,
34,35,34,AM,967.7232616952704,0.6663791292180355,44.18711621464971,0.9677232616952703,
35,35,37,AM,34.443259544343896,0.17896979613091363,49.99998944451607,0.03444325954434389,
36,39,40,AM,284.96183156356165,0.26972631087820037,49.950594114082996,0.28496183156356164,
37,39,2277,AM,39.30503799775202,0.2694598859981713,49.999982099960484,0.039305037997752014,
38,40,39,AM,39.30503799775202,0.2694598859981713,49.999982099960484,0.039305037997752014,
39,40,41,AM,284.96183156356165,0.2705698326253685,49.79486939041236,0.40708833080508805,
40,1947,42,AM,919.0365951235775,0.8221370681275164,48.194303413973735,0.7069512270181365,
