centroid_new_id,x_coord,y_coord,name
2098,315285.0612,5814450.063,nan
2099,315880.0612,5813924.063,nan
2100,320907.0612,5813294.063,nan
2101,320257.0612,5812302.063,nan
2102,314280.0612,5814136.063,nan
2103,314763.0612,5814167.063,nan
2104,314823.5612,5813775.52,nan
2105,314762.0612,5812980.063,nan
2106,313397.0612,5813357.063,nan
2107,314212.0612,5812193.063,nan
2108,319105.0612,5816694.063,nan
2109,316843.0612,5816120.063,nan
2110,317388.0612,5816951.063,nan
2111,319529.0612,5816130.063,nan
2112,315687.4385,5816601.626,nan
2113,318272.0612,5816339.063,nan
2114,317311.0612,5815911.063,nan
2115,318739.5924,5815183.842,nan
2116,320720.0612,5815744.063,nan
2117,316432.0612,5815546.063,nan
2118,318538.0612,5814604.063,nan
2119,320533.0612,5815054.063,nan
2120,319271.0612,5814338.063,nan
2121,317565.0612,5815324.063,nan
2122,317990.0612,5815428.063,nan
2123,318443.0612,5815251.063,nan
2124,317540.5619,5814731.869,nan
2125,318016.5562,5814686.122,nan
2126,318871.0612,5814704.063,nan
2127,318683.0612,5814192.063,nan
2128,319226.0612,5813966.063,nan
2129,319310.0612,5814690.063,nan
2130,319759.0612,5813921.063,nan
2131,319926.0612,5814276.063,nan
2132,320037.0612,5814536.063,nan
2133,319714.0612,5814488.063,nan
2134,319597.0612,5814928.063,nan
2135,319657.0612,5815463.063,nan
2136,320168.0612,5816023.063,nan
2137,320590.0612,5814600.063,nan
2138,320363.0612,5814618.063,nan
2139,320597.0612,5813820.063,nan
2140,320610.0612,5814033.063,nan
2141,320420.0612,5814044.063,nan
2142,320634.0612,5814264.063,nan
2143,320388.0612,5814285.063,nan
2144,320130.0612,5814074.063,nan
2145,321090.0612,5813991.063,nan
2146,322219.0612,5813065.063,nan
2147,319244.77,5813360.296,nan
2148,319587.0612,5813417.063,nan
2149,319917.0612,5813248.063,nan
2150,320890.7487,5814559.29,nan
2151,320390.0612,5813353.063,nan
2152,320177.0612,5813273.063,nan
2153,319970.0612,5813662.063,nan
2154,321099.0612,5813573.063,nan
2155,320581.0612,5813627.063,nan
2156,320152.1237,5812737.075,nan
2157,320291.2174,5813073.639,nan
2158,320472.0612,5813126.063,nan
2159,320645.0612,5812688.063,nan
2160,320863.0612,5812775.063,nan
2161,320764.0612,5812988.063,nan
2162,321242.0612,5812407.063,nan
2163,321971.0924,5812553.558,nan
2164,321099.0612,5811951.063,nan
2165,320330.0612,5811868.063,nan
2166,320642.0612,5811924.063,nan
2167,320627.0612,5811623.063,nan
2168,320407.0612,5811517.063,nan
2169,320896.0612,5811207.063,nan
2170,321027.0612,5811115.063,nan
2171,320977.0612,5810766.063,nan
2172,321265.0612,5810915.063,nan
2173,321397.0612,5810713.063,nan
2174,321615.0612,5810591.063,nan
2175,321937.0612,5810560.063,nan
2176,322741.0612,5810931.063,nan
2177,323291.0612,5811288.063,nan
2178,323076.0612,5811459.063,nan
2179,323080.0612,5810398.063,nan
2180,323867.0612,5810401.063,nan
2181,323554.0612,5810607.063,nan
2182,323341.0612,5810612.063,nan
2183,323781.0612,5809949.063,nan
2184,323716.0612,5809504.063,nan
2185,323404.0612,5809767.063,nan
2186,322986.0612,5809580.063,nan
2187,323334.0612,5809142.063,nan
2188,323298.0612,5808893.063,nan
2189,322501.0612,5809311.063,nan
2190,322374.1862,5809199.485,nan
2191,321959.0612,5809726.063,nan
2192,322083.0612,5809367.063,nan
2193,322024.0612,5810115.063,nan
2194,322154.1862,5809657.097,nan
2195,322287.0612,5808670.063,nan
2196,323467.0612,5810290.063,nan
2197,321487.5924,5814500.196,nan
2198,322188.0612,5809001.063,nan
2199,319987.0612,5814872.063,nan
2200,321204.0612,5813369.063,nan
2201,317759.8865,5814719.365,nan
2202,318192.0612,5814300.063,nan
2203,318668.0612,5817722.063,nan
2204,317042.0612,5813917.063,nan
2205,320837.0612,5814007.063,nan
2206,321422.0612,5813996.063,nan
2207,318782.76,5813188.84,nan
2208,319517.0612,5813629.063,nan
2209,324319.0649,5818074.976,nan
2210,324223.0612,5816893.063,nan
2211,325780.0612,5817374.063,nan
2212,326799.0612,5816854.063,nan
2213,319768.0612,5813652.063,nan
2214,325330.4688,5816694.277,nan
2215,324364.0612,5816376.063,nan
2216,320248.0612,5813568.063,nan
2217,321438.0612,5813287.063,nan
2218,320738.0612,5813489.063,nan
2219,319705.9049,5813135.114,nan
2220,321835.0612,5813245.063,nan
2221,322687.0612,5813026.063,nan
2222,318693.7368,5813055.581,nan
2223,319766.0612,5812412.063,nan
2224,318563.0612,5812231.063,nan
2225,322270.0612,5812010.063,nan
2226,322618.0612,5812340.063,nan
2227,320669.0612,5813180.063,nan
2228,320365.0612,5812089.063,nan
2229,322050.0612,5811464.063,nan
2230,316591.0612,5811571.063,nan
2231,325621.0612,5812731.063,nan
2232,326179.0612,5811840.063,nan
2233,317542.0612,5811701.063,nan
2234,326481.0612,5810954.063,nan
2235,326236.0612,5815012.063,nan
2236,320933.0612,5812136.063,nan
2237,325616.0612,5814026.063,nan
2238,326234.0612,5813185.063,nan
2239,319103.0612,5811832.063,nan
2240,320090.0612,5811564.063,nan
2241,320952.0612,5811654.063,nan
2242,321288.0612,5811711.063,nan
2243,321298.0612,5811423.063,nan
2244,320551.0612,5812910.063,nan
2245,320883.0612,5811349.063,nan
2246,321267.0612,5811122.063,nan
2247,316342.5244,5810191.854,nan
2248,322496.0612,5810481.063,nan
2249,322469.0612,5808990.063,nan
2250,320992.0612,5813077.063,nan
2251,318168.0612,5811165.063,nan
2252,319729.0612,5810980.063,nan
2253,320347.0299,5810913.954,nan
2254,316713.4744,5810443.103,nan
2255,320847.0612,5810357.063,nan
2256,321294.0612,5813138.063,nan
2257,318640.0612,5810587.063,nan
2258,319160.0612,5810056.063,nan
2259,326541.0612,5810083.063,nan
2260,321041.9982,5809915.565,nan
2261,319832.0612,5810230.063,nan
2262,321831.0612,5810129.063,nan
2263,319398.0612,5809442.063,nan
2264,323033.0612,5809971.063,nan
2265,324611.0612,5810764.063,nan
2266,324118.0612,5809807.063,nan
2267,321267.0612,5812973.063,nan
2268,323370.0612,5809488.063,nan
2269,324796.0612,5809521.063,nan
2270,322511.0612,5816888.063,nan
2271,321065.8828,5816673.84,nan
2272,326460.8319,5816552.098,nan
2273,322117.0612,5816290.435,nan
2274,322740.0612,5815788.063,nan
2275,314667.7315,5807918.687,nan
2276,315063.4185,5808152.757,nan
2277,327714.4509,5815566.123,nan
2278,317134.6734,5818066.837,nan
2279,317382.7419,5818003.562,nan
2280,327749.1534,5808666.437,nan
2281,327769.9129,5810768.86,nan
2282,327825.9026,5811264.889,nan
2283,327057.1334,5808215.942,nan
2284,326633.6141,5808270.409,nan
2285,326166.469,5808291.454,nan
2286,325859.2931,5808137.008,nan
2287,321639.9016,5808304.501,nan
2288,320922.8777,5808263.365,nan
2289,319344.5706,5818024.231,nan
2290,321424.1388,5818143.966,nan
2291,322098.8101,5818066.894,nan
2292,320497.9289,5818141.142,nan
2293,321975.6093,5808088.384,nan
2294,322217.545,5808189.382,nan
2295,327475.2577,5817479.808,nan
2296,327767.0612,5815631.063,nan
2297,322832.4667,5818015.915,nan
2298,323775.0707,5818121.302,nan
2299,318880.2044,5818285.925,nan
2300,324883.3638,5818108.86,nan
2301,318329.3205,5818321.532,nan
2302,312667.7511,5817614.67,nan
2303,325606.0791,5818146.39,nan
2304,326225.084,5818074.432,nan
2305,315504.6129,5817735.974,nan
2306,317246.0153,5818025.122,nan
2307,312441.9649,5816280.712,nan
2308,312629.8337,5815994.738,nan
2309,327572.3377,5814827.271,nan
2310,327711.2603,5814093.55,nan
2311,327662.4399,5814296.065,nan
2312,327678.2444,5813662.552,nan
2313,327691.2719,5813395.548,nan
2314,312420.9304,5813059.277,nan
2315,321183.8886,5808260.314,nan
2316,312683.8903,5814589.573,nan
2317,312500.2001,5815025.052,nan
2318,312580.4302,5814172.399,nan
2319,312462.2143,5816229.108,nan
2320,327608.2337,5812883.275,nan
2321,322603.1161,5808313.989,nan
2322,312429.0171,5812958.098,nan
2323,312353.2745,5812160.308,nan
2324,327587.3108,5812000.355,nan
2325,312612.9007,5811531.814,nan
2326,312510.9977,5809678.473,nan
2327,327567.6289,5809612.098,nan
2328,323420.0373,5808296.824,nan
2329,324217.5485,5808284.869,nan
2330,315400.8015,5808252.111,nan
2331,322498.8642,5808319.208,nan
2332,327581.9395,5810035.982,nan
2333,325028.0375,5808162.687,nan
2334,322364.1852,5808226.116,nan
2335,312575.4033,5810506.865,nan
2336,312932.0689,5817629.536000001,nan
2341,322479.25011901103,5812391.582774615,Melbourne Cricket Ground
2342,322625.96169486595,5811897.965339901,AAMI Park
2343,322089.4628589929,5812240.139649849,Rod Laver Arena
2344,322028.53204200504,5812261.402295203,Margaret Court Arena
2345,322417.2649517286,5812111.739862753,John Cain Arena
2346,319336.3953620228,5812578.019917993,Marvel Stadium
2347,320140.1976058347,5813743.12293561,Queen Victoria Market
2348,321785.24825832795,5806940.190962315,St Kilda Beach
